name,category,description,location,contact,hours,services
City Community Health Clinic,Healthcare,"Free health checkups, vaccinations, basic medical care for uninsured families. Mental health counseling and chronic disease management.","123 Main St, Downtown",555-0100,Mon-Fri 9AM-5PM,"Primary Care, Vaccinations, Mental Health"
Daily Bread Food Bank,Food Assistance,"Emergency food supplies, weekly groceries for low-income households. Fresh produce, dairy, and non-perishables available.","456 Oak Ave, West Side",555-0200,Tue-Sat 8AM-4PM,"Food Pantry, Emergency Meals"
Legal Aid Society,Legal Services,"Free legal consultation for housing disputes, family law, immigration issues. Available in English and Spanish.","789 Court St, City Center",555-0300,Mon-Thu 10AM-6PM,"Housing Law, Family Law, Immigration"
Adult Learning Center,Education,"GED preparation, ESL classes, computer literacy, job training programs. All levels welcome, no cost.","321 School Rd, North District",555-0400,"Mon-Fri 6PM-9PM, Sat 9AM-2PM","GED, ESL, Job Training"
Mobile Medical Unit,Healthcare,"Mobile clinic serving underserved neighborhoods. Basic health screenings, prescription assistance, dental checkups.",Various locations (call for schedule),555-0500,Mon-Fri 10AM-3PM,"Mobile Clinic, Dental, Prescriptions"
Youth After-School Program,Education,"Homework help, tutoring, sports activities for K-12 students. Nutritious snacks provided daily.","555 Park Ave, South Side",555-0600,Mon-Fri 3PM-6PM,"Tutoring, Sports, Meals"
Emergency Shelter Network,Housing,"Temporary housing for homeless individuals and families. Case management, job placement assistance.","100 Shelter Ln, East Side",555-0700,24/7 Emergency Line,"Emergency Shelter, Case Management"
Community Meal Center,Food Assistance,"Hot meals served daily, no questions asked. Weekend food packages for families in need.","200 Church St, Downtown",555-0800,"Daily 11AM-1PM, 5PM-7PM","Hot Meals, Food Packages"
Mental Health Crisis Line,Healthcare,"24/7 crisis counseling, suicide prevention, referrals to mental health services. Multilingual support available.",Phone service (can arrange in-person),555-0900 or 1-800-CRISIS,24/7,"Crisis Counseling, Suicide Prevention"
Job Readiness Center,Employment,"Resume writing, interview preparation, job search assistance. Computer access and professional clothing closet.","400 Work St, Business District",555-1000,Mon-Fri 9AM-5PM,"Job Training, Resume Help, Clothing"
Prescription Assistance Program,Healthcare,"Help obtaining low-cost medications, navigating insurance, connecting to pharmaceutical assistance programs.",123 Main St (inside Health Clinic),555-1100,Mon-Wed-Fri 10AM-4PM,"Medication Assistance, Insurance Help"
Veterans Services Center,Support Services,"Comprehensive support for veterans: housing assistance, PTSD counseling, benefits navigation, job placement.","600 Military Rd, Veterans Park",555-1200,Mon-Fri 8AM-6PM,"Housing, PTSD Counseling, Benefits"
Women and Children Shelter,Housing,"Safe housing for women and children fleeing domestic violence. Counseling, legal advocacy, childcare available.",Confidential Location (call for access),555-1300 (24/7 hotline),24/7,"Safe Housing, Counseling, Legal Aid"
Transportation Assistance,Support Services,"Free bus passes for medical appointments, job interviews, essential services. Volunteer driver network available.",Various pickup locations,555-1400,Mon-Fri 7AM-7PM,"Bus Passes, Medical Transport"
Senior Wellness Center,Healthcare,"Health screenings, exercise classes, nutrition counseling for seniors 60+. Social activities and hot lunch daily.","700 Elder Ave, Retirement Community",555-1500,Mon-Fri 9AM-3PM,"Health Screenings, Exercise, Meals"
Immigrant Resource Center,Legal Services,"Immigration legal services, citizenship classes, language assistance, cultural orientation programs.","800 Liberty St, Cultural District",555-1600,Tue-Sat 10AM-6PM,"Immigration Law, Citizenship, ESL"
Dental Care Clinic,Healthcare,"Low-cost dental services: cleanings, fillings, extractions. Sliding scale fees based on income.","900 Tooth Ln, Medical Complex",555-1700,Mon-Thu 8AM-5PM,"Dental Cleanings, Fillings, Extractions"
Utility Assistance Program,Financial Aid,"Help paying electricity, gas, water bills. Energy efficiency upgrades and budget counseling available.","1000 Power St, City Hall Annex",555-1800,Mon-Fri 9AM-4PM,"Utility Bills, Energy Assistance"
Addiction Recovery Center,Healthcare,"Substance abuse counseling, recovery support groups, medication-assisted treatment. Family counseling available.","1100 Recovery Rd, Health Campus",555-1900,Mon-Sat 8AM-8PM,"Addiction Counseling, MAT, Support Groups"
Child Development Center,Education,"Subsidized childcare for working families, early childhood education, developmental screenings.","1200 Kids Way, Family Services",555-2000,Mon-Fri 6AM-6PM,"Childcare, Early Education, Screenings"
Financial Literacy Workshop,Financial Aid,"Free classes on budgeting, saving, credit repair, homeownership. One-on-one financial coaching available.","1300 Money St, Community Center",555-2100,Weekly Wed 6PM-8PM,"Budgeting, Credit Repair, Coaching"
Disability Services Office,Support Services,"Assistance for people with disabilities: adaptive equipment, benefits navigation, accessibility advocacy.","1400 Access Blvd, Municipal Building",555-2200,Mon-Fri 9AM-5PM,"Equipment, Benefits, Advocacy"
Community Garden Program,Food Assistance,"Free garden plots for families, gardening education, fresh produce distribution, cooking classes.","1500 Green St, Community Gardens",555-2300,Daily dawn to dusk,"Garden Plots, Education, Fresh Produce"
Tax Preparation Service,Financial Aid,"Free tax filing assistance, help claiming EITC and child tax credits. IRS-certified volunteers.","1600 Tax Ave, Library",555-2400,Jan-Apr: Mon-Sat 10AM-6PM,"Tax Filing, EITC, Credits"
Youth Mentoring Program,Education,"One-on-one mentoring for at-risk youth, college preparation, career exploration, life skills training.","1700 Future Rd, Youth Center",555-2500,Flexible scheduling,"Mentoring, College Prep, Life Skills"
